,MOLECULES,OUTCOME
0,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0
1,N#CSCc1ccccc1,0
2,O=NN1CC(O)CC1C(=O)O,0
3,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0
4,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0
5,CCc1cc(C(N)=S)ccn1,0
6,C[N+]([O-])(CCCl)CCCl,1
7,O=c1oc2c(O)c(O)cc3c(=O)oc4c(O)c(O)cc1c4c23,0
8,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,0
9,c1ccc2c(c1)[nH]c1cnccc12,0
10,FC(F)(Cl)C(F)(Cl)Cl,0
11,CCN(CC)C(C)=O,1
12,CCC(C(=O)NC(N)=O)c1ccccc1,0
13,CC(=O)CN(CC(C)=O)N=O,1
14,NNc1nc(-c2ccc(N)cc2)cs1,1
15,CCCCCC(N)=O,0
16,N=C(NCC(F)(F)F)Nc1ccn(CCCCC(N)=O)n1,1
17,O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34,1
18,CC(C)C=O,0
19,CC(=O)Nc1ccc(S(=O)(=O)c2ccc(NC(C)=O)cc2)cc1,1
20,CN(N=O)c1ccc([N+](=O)[O-])cc1,0
21,C=CCN(CCO)N=O,1
22,CC(C)CON=O,1
23,CNC(=NC#N)NCCSCc1nc[nH]c1C,0
24,CN[N+](=O)[O-],1
25,C=CCOc1ccc(CC(=O)O)cc1Cl,0
26,Cn1c(N)nc2c3cccnc3ccc21,1
27,CCCCCCOc1cc(C)c(O)c(C)c1C,0
28,CCCCCCCCS(=O)C(C)Cc1ccc2c(c1)OCO2,0
29,CCN(CC)C(=S)SSC(=S)N(CC)CC,0
30,CN(CCc1ccccc1)N=O,1
31,c1ccc(C2CO2)cc1,1
32,Cc1cccn2c1nc1ccc(N)nc12,1
33,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0
34,NC(=O)NN=Cc1ccco1,0
35,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,1
36,N=c1ccn2c(n1)OC1C(O)C(CO)OC12,0
37,C=CC1CC=CCC1,1
38,O=C1c2ccccc2C(=O)c2c(O)c(O)cc(O)c21,1
39,CC=C1CC(C)C(O)(CO)C(=O)OCC2=CCN3CCC(OC1=O)C23,1
40,O=[N+]([O-])c1ccccc1Cl,0
41,FC(F)=C(F)F,1
42,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1,0
