MOLECULE,OUTCOME,,,
BrC1=CC(COCC2(C3=CC=CC=C3)CCNCC2)=CN=C1,4.823908741,4.176091259,15000,0
BrC1=CC2=C(N=C1)N=C(N1CCN3CCC1CC3)O2,5.638272164,3.361727836,2300,1
C/C=C/C1=NC(COCC2(C3=CC=C(F)C=C3)CCN(C)CC2)=CC(C(F)(F)F)=C1,4.886056648,4.113943352,12999.99999,0
C=CC(=O)N1CCC[C@@H](N2N=C(C3=CC(C(=O)NCC4=CC=C(C(C)(C)C)C=C4)=CC=C3)C3=C(N)N=CN=C32)C1,5.744727495,3.255272505,1800,1
C=CC(=O)N1CCC[C@@H](N2N=C(C3=CC(C(=O)NC4=CC(C)=C(C(C)C)C=C4)=CC=C3)C3=C(N)N=CN=C32)C1,6.522878745,2.477121255,300.0000002,1
C=CC(=O)N1CCC[C@@H](N2N=C(C3=CC(C(=O)NC4=CC=C(C(C)C)C=C4)=CC=C3)C3=C(N)N=CN=C32)C1,5.958607315,3.041392685,1100,1
C=CC(=O)N[C@H]1CCN(C2=NC(NC3=CN=C(N4CCCCC4)C=C3)=C(C(N)=O)C=C2)C1,6.585026652,2.414973348,260,1
C=CC(=O)N[C@H]1CCN(C2=NC(NC3=CN=C(N4CCOCC4)C=C3)=C(C(N)=O)C=C2)C1,5.823908741,3.176091259,1500,1
C=CC(=O)NC1=C(N(C)CCN(C)C)C=C(OC)C(NC2=NC(C3=C4C=CC=CN4N=C3)=C(Cl)C=N2)=C1,5.173925197,3.826074803,6700.000005,1
C=CC(=O)NC1=C(N(C)CCN(C)C)C=C(OC)C(NC2=NC(C3=CNC4=CC=CC=C43)=C(Cl)C=N2)=C1,4.829738285,4.170261715,14799.99999,0
C=CC(=O)NC1=C(N(C)CCN(C)C)C=C(OC)C(NC2=NC(C3=CNC4=CC=CC=C43)=CC=N2)=C1,4.756961951,4.243038049,17500.00001,0
C=CC(=O)NC1=C(N(C)CCN(C)C)C=C(OC)C(NC2=NC(C3=CN(C)C4=CC=CC=C34)=C(C)C=N2)=C1,4.806875402,4.193124598,15599.99999,0
C=CC(=O)NC1=C(N(C)CCN(C)C)C=C(OC)C(NC2=NC(C3=CN(C)C4=CC=CC=C34)=C(Cl)C=N2)=C1,5.13076828,3.86923172,7400.000005,1
C=CC(=O)NC1=C(N(C)CCN(C)C)C=C(OC)C(NC2=NC(C3=CN(C)C4=CC=CC=C34)=CC=N2)=C1,4.790484985,4.209515015,16200.00002,0
C=CC(=O)NC1=C(N2CCN(C)CC2)C=C(OC)C(NC2=NC(C3=CNC4=CC=CC=C43)=CC=N2)=C1,5.040958608,3.959041392,9099.999993,1
C=CC1=C(C)C2=C(N=C1CNC13CCC(CCC4=C(F)C=NC5=CC=C(OC)N=C54)(CC1)OC3)NC(=O)CO2,6.301029996,2.698970004,499.9999996,1
CC#CCN1C2=C(C(C#N)=C1N1CCCNCC1)N(C)C(=O)N(CC1=C(C#N)C3=C(C=CC=C3)C=N1)C2=O,4.920818754,4.079181246,12000,0
CC#CCN1C2=C(C(C#N)=C1N1CCCNCC1)N(C)C(=O)N(CC1=NC3=C(C=CC=C3)C(C)=N1)C2=O,4.920818754,4.079181246,12000,0
CC#CCN1C2=C(C(C#N)=C1N1CCC[C@H](N)C1)N(C)C(=O)N(CC(=O)C1=CC(OC)=CC=C1)C2=O,5.886056648,3.113943352,1299.999999,1
CC#CCN1C2=C(C(C#N)=C1N1CCC[C@H](N)C1)N(C)C(=O)N(CC1=NC=CC3=CC=CC=C31)C2=O,4.549750892,4.450249108,28199.99998,0
CC#CC1=CC2=C(C=C1)N=C(OC)C(C(C1=CC=CC=C1)C(O)(CCN(C)C)C1=CC=CC3=CC=CC=C31)=C2,5.102372909,3.897627091,7899.999995,1
CC(C)=CCN1C2=C(C(C#N)=C1N1CCCNCC1)N(C)C(=O)N(CC1=C(C#N)C3=C(C=CC=C3)C=N1)C2=O,5.744727495,3.255272505,1800,1
CC(C)=CCN1C2=C(C(C#N)=C1N1CCCNCC1)N(C)C(=O)N(CC1=NC=CC3=CC=CC=C31)C2=O,5.721246399,3.278753601,1900,1
CC(C)=CCN1C2=C(C(C#N)=C1N1CCCNCC1)N(C)C(=O)N(CC1=C(C#N)C=NC3=CC=CC=C31)C2=O,6.045757491,2.954242509,899.9999991,1
CC(C)=CCN1C2=C(C(C#N)=C1N1CCCNCC1)N(C)C(=O)N(CC1=NC3=C(C=CC=C3)C(C)=N1)C2=O,5.698970004,3.301029996,2000.000002,1
CC(C)=CCN1C2=C(C(C#N)=C1N1CCC[C@H](N)C1)N(C)C(=O)N(CC1=C(C#N)C=CC=N1)C2=O,4.772113295,4.227886705,16900.00002,0
CC(C)=CCN1C2=C(C(C#N)=C1N1CCC[C@H](N)C1)N(C)C(=O)N(CC1=NC=CC3=CC=CC=C31)C2=O,5.045757491,3.954242509,8999.999991,1
CC(C)=CCN1C2=C(C(C#N)=C1N1CCC[C@H](N)C1)N(C)C(=O)N(CC1=NC3=C(C=CC=C3)C(C)=N1)C2=O,5.173925197,3.826074803,6700.000005,1
CC(C)=CCN1C2=C(C(C#N)=C1N1CCC[C@H](N)C1)N(C)C(=O)N(CC1=NC3=C(C=CC=C3)N=C1)C2=O,5.301029996,3.698970004,4999.999996,1
CC(C)=CCN1C2=C(N=CN(CC3=CC=NC4=CC=CC=C34)C2=O)C(C#N)=C1N1CCC[C@H](N)C1,5.37675071,3.62324929,4199.999996,1
CC(C)=CC1=NC(COCC2(C3=CC=C(F)C=C3)CCN(C)CC2)=CC(C(F)(F)F)=C1,4.744727495,4.255272505,18000,0
CC(C)C(N1CCOCC1)C(O)(C1=CN=CC=C1)C1=CN=CC=C1,4.124938737,4.875061263,74999.99993,0
CC(C)(C)C(O)CN1CCC(CNC(=O)C2=CC(Cl)=CC(Cl)=C2)CC1,5.317854924,3.682145076,4809.999996,1
CC(C)C(=O)N(CC1=C(Cl)C(Cl)=CC=C1)[C@H]1CCNC1,4.607303047,4.392696953,24699.99999,0
